id,title,year,minutes,genres,average_rating,num_votes,time,length,known,genre_1,genre_2,genre_3
tt0106873,Fatal Instinct,1993,91,"Comedy,Crime,Thriller",5.8,7086,Middle,Normal,Normal,Comedy,Crime,Thriller
tt0106877,Father Hood,1993,95,"Adventure,Comedy,Drama",4.9,3011,Middle,Normal,Normal,Adventure,Comedy,Drama
tt0106880,Fear of a Black Hat,1993,88,"Comedy,Music",7.2,4011,Middle,Short,Normal,Comedy,Music,Unknown
tt0106881,Fearless,1993,122,"Drama,Thriller",7.1,21833,Middle,Long,Known,Drama,Thriller,Unknown
tt0106911,Fiorile,1993,119,Drama,6.9,1100,Middle,Normal,Unknown,Drama,Unknown,Unknown
tt0106912,Fire in the Sky,1993,109,"Biography,Drama,Fantasy",6.5,22986,Middle,Normal,Known,Biography,Drama,Fantasy
tt0106913,Fire on the Amazon,1993,87,"Action,Adventure,Drama",3.5,2558,Middle,Short,Normal,Action,Adventure,Drama
tt0106918,The Firm,1993,154,"Drama,Mystery,Thriller",6.8,124853,Middle,Long,Known,Drama,Mystery,Thriller
tt0106922,Fit to Kill,1993,97,"Action,Thriller",4.1,1041,Middle,Normal,Unknown,Action,Thriller,Unknown
tt0106926,Flesh and Bone,1993,126,"Drama,Mystery,Romance",6.2,5225,Middle,Long,Normal,Drama,Mystery,Romance
tt0106936,Fong Sai Yuk,1993,100,"Action,Comedy,History",7.2,7572,Middle,Normal,Normal,Action,Comedy,History
tt0106937,Fong Sai Yuk 2,1993,95,"Action,Adventure,Comedy",7.0,4256,Middle,Normal,Normal,Action,Adventure,Comedy
tt0106941,For Love or Money,1993,96,"Comedy,Drama,Romance",6.2,13443,Middle,Normal,Known,Comedy,Drama,Romance
tt0106949,Det forsømte forår,1993,89,Drama,7.4,2001,Middle,Short,Normal,Drama,Unknown,Unknown
tt0106950,Fortress,1992,95,"Action,Crime,Sci-Fi",5.9,27989,Middle,Normal,Known,Action,Crime,Sci-Fi
tt0106963,Frauds,1993,90,"Comedy,Crime,Thriller",6.0,1018,Middle,Short,Unknown,Comedy,Crime,Thriller
tt0106965,Free Willy,1993,112,"Adventure,Drama,Family",6.0,71347,Middle,Normal,Known,Adventure,Drama,Family
tt0106966,Fresa y chocolate,1993,108,"Comedy,Drama,Romance",7.4,5464,Middle,Normal,Normal,Comedy,Drama,Romance
tt0106977,The Fugitive,1993,130,"Action,Crime,Drama",7.8,275763,Middle,Long,Known,Action,Crime,Drama
tt0107002,Germinal,1993,160,"Drama,Romance",7.1,4923,Middle,Long,Normal,Drama,Romance,Unknown
